id,value
flare,
flare.analytics,
flare.analytics.cluster,
flare.analytics.cluster.Bob Dylen - Songs: - Girl from the North Country - Dont Think Twice Its All Right - Masters of War - The Times They Are a-Changin - When the Ship Comes In - The- Lonesome Death of Hattie Carroll - Ballad of a Thin Man - Like a Rolling Stone - Maggies Farm - Visions of Johanna - Just Like a Woman - Shes - Your Lover Now - I Want You - Lay Lady Lay - Knockin On Heavens Door - Wedding Song - Forever Young - Idiot Wind - If You See Her Say Hello - Tangled up in Blue - Hurricane - Every Grain of Sand - Death Is Not the End - Blind Willie McTell,24
flare.analytics.cluster.The Beatels - Songs: - I Want to Hold Your Hand - She Loves You - Eight Days a Week - Girl - Youve Got to Hide Your Love Away - Drive My Car - Another Girl - Norwegian Wood (This ֲ Birdֲ Has Flown) - Yesterday - Eleanor Rigby - Doctor Robert - With a Little Help from Myֲ Friends - Penny Lane - Shes Leaving Home - Strawberry Fields Forever - I Am the Walrus - Revolution - Yer Blues - Something,19
flare.analytics.cluster.David Bowie - Songs: - Letter to Hermione - Space Oddity - Life On Mars? - Kooks - Heroes - Repetition - Lets Dance - The Wedding Song - Never Get Old,9
flare.analytics.cluster.Randy Newman - TheRolling Stones,8
flare.analytics.cluster.Elvis Presley - Frank Sinatra - Madonna - Marvin Gaye - Prince - The Beach Boys - The Kinks,6
flare.analytics.cluster.Al Green - Chuck Berry - Elvis Costello and the Attractions - Johnny Cash - Kate Bush - Neil Young - Pulp - The Clash - The Smiths - The Supremes - Tom Waits - U2,5
flare.analytics.cluster.Arctic Monkeys - Bill Withers - Bruce Springsteen - Grace Jones - Paul Simon - Ray Charles - Rod Stewart - Roy Orbison - Steve Earle - Stevie Wonder - The Pogues - The Police - The Who,4
flare.analytics.cluster.Abba -  and 23 more,3
flare.analytics.cluster.Bob Marley -  and 94 more,2
flare.analytics.cluster.All Saints -  and 515 more,1
