YEAR	NUMBER
1916	0
1922 	0
1928 	1
1929 	0
1931 	0
1932 	0
1935 	0
1936 	0
1938 	0
1939 	1
1940 	0
1941 	0
1944 	0
1946 	0
1949 	0
1950 	0
1951 	0
1952 	1
1953 	0
1954 	1
1955 	1
1956 	5
1957 	0
1958 	1
1959 	2
1960 	1
1961 	4
1962 	2
1963 	5
1964 	11
1965 	4
1966 	11
1967 	6
1968 	7
1969 	2
1970 	3
1971 	3
1972 	6
1973 	8
1974 	6
1975 	3
1976 	1
1977 	5
1978 	4
1979 	3
1980 	0
1981 	0
1982 	2
1983 	0
1984 	1
1985 	2
1986 	2
1987 	2
1988 	1
1989 	2
1990 	0
1991 	0
1992 	2
1993 	1
1994 	3
1995 	3
1996 	1
1997 	0
1998 	0
1999 	0
2000 	2	
2001 	1
2002 	0
2003 	2
2004 	0
2005 	0
2006 	0
2007 	3
2008 	1
